Date,Canton,Value
2020-04-30,Neuchâtel,36.19
2020-05-01,Obwalden,31.71
2020-05-01,Basel Land,12.49
2020-05-01,Basel Stadt,17.46
2020-05-01,Appenzell Innerrhoden,6.19
2020-05-01,Zug,13.40
2020-05-01,Genève,60.06
2020-05-01,Glarus,34.65
2020-05-01,Luzern,21.49
2020-05-01,Zürich,20.38
2020-05-01,Vaud,33.91
2020-05-01,Valais/Wallis,37.21
2020-05-01,St. Gallen,14.18
2020-05-01,Neuchâtel,32.80
2020-05-01,Solothurn,14.64
2020-05-01,Schwyz,23.25
2020-05-01,Liechtenstein,2.58
2020-05-01,Thurgau,14.83
2020-05-01,Nidwalden,13.88
2020-05-01,Uri,24.70
2020-05-01,Jura,9.53
2020-05-01,Appenzell Ausserrhoden,25.35
2020-05-01,Bern,20.68
2020-05-01,Fribourg/Freiburg,46.44
2020-05-01,Graubünden/Grison,22.18
2020-05-01,Ticino,68.21
2020-05-01,Aargau,19.70
2020-05-01,Schaffhausen,18.29
2020-05-02,Zürich,18.01
2020-05-02,Bern,18.65
2020-05-02,Schwyz,23.87
2020-05-02,Jura,8.17
2020-05-02,Genève,52.25
2020-05-02,Nidwalden,11.57
2020-05-02,Glarus,27.23
2020-05-02,Luzern,19.29
2020-05-02,Aargau,17.65
2020-05-02,Obwalden,31.71
2020-05-02,Neuchâtel,31.10
2020-05-02,Basel Stadt,15.92
2020-05-02,Appenzell Innerrhoden,6.19
2020-05-02,Appenzell Ausserrhoden,25.35
2020-05-02,Liechtenstein,2.58
2020-05-02,Ticino,65.38
2020-05-02,Schaffhausen,17.08
2020-05-02,Uri,30.19
2020-05-02,Fribourg/Freiburg,42.67
2020-05-02,Valais/Wallis,35.18
2020-05-02,Zug,11.83
2020-05-02,Basel Land,12.15
2020-05-02,Graubünden/Grison,21.68
2020-05-02,Vaud,32.79
2020-05-02,St. Gallen,13.59
2020-05-02,Solothurn,14.28
2020-05-02,Thurgau,13.74
2020-05-03,Graubünden/Grison,19.16
2020-05-03,Basel Stadt,14.89
2020-05-03,Neuchâtel,31.10
2020-05-03,Basel Land,10.41
2020-05-03,Zug,11.04
2020-05-03,Valais/Wallis,33.14
2020-05-03,Jura,8.17
2020-05-03,Vaud,32.03
2020-05-03,Ticino,57.45
2020-05-03,Zürich,16.50
2020-05-03,Schaffhausen,15.86
2020-05-03,Solothurn,15.74
2020-05-03,Bern,18.55
2020-05-03,Schwyz,22.62
2020-05-03,St. Gallen,13.00
2020-05-03,Thurgau,13.38
2020-05-03,Uri,32.94
2020-05-03,Glarus,27.23
2020-05-03,Appenzell Ausserrhoden,27.16
2020-05-03,Genève,51.45
2020-05-03,Fribourg/Freiburg,36.71
2020-05-03,Liechtenstein,2.58
2020-05-03,Aargau,17.07
2020-05-03,Luzern,17.58
2020-05-03,Appenzell Innerrhoden,6.19
2020-05-03,Nidwalden,11.57
2020-05-03,Obwalden,31.71
2020-05-04,Genève,47.25
2020-05-04,Zug,11.83
2020-05-04,Appenzell Innerrhoden,6.19
2020-05-04,Thurgau,11.94
2020-05-04,Liechtenstein,2.58
2020-05-04,Basel Land,9.37
2020-05-04,Jura,4.09
2020-05-04,Vaud,29.03
2020-05-04,Valais/Wallis,29.95
2020-05-04,Neuchâtel,27.14
2020-05-04,Uri,35.68
2020-05-04,Schaffhausen,14.64
2020-05-04,Glarus,19.80
2020-05-04,Solothurn,16.47
2020-05-04,Basel Stadt,15.40
2020-05-04,St. Gallen,11.03
2020-05-04,Appenzell Ausserrhoden,19.92
2020-05-04,Aargau,17.07
2020-05-04,Obwalden,31.71
2020-05-04,Ticino,50.94
2020-05-04,Schwyz,20.73
2020-05-04,Graubünden/Grison,15.63
2020-05-04,Luzern,17.09
2020-05-04,Zürich,15.58
2020-05-04,Bern,17.68
2020-05-04,Nidwalden,11.57
2020-05-04,Fribourg/Freiburg,35.45
2020-05-05,Graubünden/Grison,14.62
2020-05-05,Aargau,16.63
2020-05-05,Zürich,14.99
2020-05-05,Ticino,49.24
2020-05-05,Uri,35.68
2020-05-05,Glarus,17.33
2020-05-05,St. Gallen,8.67
2020-05-05,Liechtenstein,2.58
2020-05-05,Bern,17.01
2020-05-05,Appenzell Ausserrhoden,19.92
2020-05-05,Fribourg/Freiburg,34.20
2020-05-05,Vaud,26.53
2020-05-05,Zug,11.83
2020-05-05,Obwalden,31.71
2020-05-05,Basel Stadt,15.92
2020-05-05,Jura,8.17
2020-05-05,Solothurn,15.74
2020-05-05,Appenzell Innerrhoden,6.19
2020-05-05,Basel Land,8.33
2020-05-05,Nidwalden,11.57
2020-05-05,Luzern,15.14
2020-05-05,Schaffhausen,14.64
2020-05-05,Thurgau,11.57
2020-05-05,Schwyz,18.22
2020-05-05,Genève,42.24
2020-05-05,Valais/Wallis,28.20
2020-05-05,Neuchâtel,26.58
2020-05-06,Vaud,26.28
2020-05-06,Liechtenstein,2.58
2020-05-06,Valais/Wallis,27.33
2020-05-06,Nidwalden,11.57
2020-05-06,Basel Stadt,17.46
2020-05-06,Genève,37.84
2020-05-06,Schaffhausen,14.64
2020-05-06,Graubünden/Grison,13.61
2020-05-06,Glarus,19.80
2020-05-06,St. Gallen,8.67
2020-05-06,Fribourg/Freiburg,31.69
2020-05-06,Solothurn,12.81
2020-05-06,Basel Land,7.98
2020-05-06,Obwalden,31.71
2020-05-06,Zug,11.83
2020-05-06,Appenzell Innerrhoden,6.19
2020-05-06,Thurgau,7.96
2020-05-06,Neuchâtel,25.45
2020-05-06,Luzern,13.18
2020-05-06,Appenzell Ausserrhoden,18.10
2020-05-06,Jura,6.81
2020-05-06,Zürich,13.35
2020-05-06,Bern,15.56
2020-05-06,Uri,35.68
2020-05-06,Ticino,44.15
2020-05-06,Aargau,15.61
2020-05-06,Schwyz,14.45
2020-05-07,Basel Stadt,17.46
2020-05-07,Glarus,19.80
2020-05-07,St. Gallen,7.48
2020-05-07,Appenzell Innerrhoden,0.00
2020-05-07,Zug,11.04
2020-05-07,Neuchâtel,23.75
2020-05-07,Vaud,23.02
2020-05-07,Thurgau,5.79
2020-05-07,Schwyz,14.45
2020-05-07,Fribourg/Freiburg,31.69
2020-05-07,Solothurn,11.35
2020-05-07,Graubünden/Grison,12.10
2020-05-07,Ticino,41.60
2020-05-07,Luzern,12.94
2020-05-07,Zürich,12.95
2020-05-07,Liechtenstein,2.58
2020-05-07,Basel Land,9.02
2020-05-07,Valais/Wallis,23.26
2020-05-07,Bern,13.43
2020-05-07,Obwalden,29.07
2020-05-07,Genève,32.43
2020-05-07,Nidwalden,16.20
2020-05-07,Appenzell Ausserrhoden,16.29
2020-05-07,Jura,6.81
2020-05-07,Uri,38.43
2020-05-07,Schaffhausen,13.42
2020-05-07,Aargau,14.01
2020-05-08,Jura,8.17
2020-05-08,Bern,11.98
2020-05-08,Appenzell Innerrhoden,0.00
2020-05-08,Basel Stadt,15.40
2020-05-08,Genève,29.83
2020-05-08,Zug,9.46
2020-05-08,Liechtenstein,0.00
2020-05-08,Fribourg/Freiburg,30.12
2020-05-08,Solothurn,11.35
2020-05-08,Obwalden,21.14
2020-05-08,Luzern,11.96
2020-05-08,Neuchâtel,25.45
2020-05-08,Basel Land,7.29
2020-05-08,Nidwalden,16.20
2020-05-08,Glarus,19.80
2020-05-08,St. Gallen,6.11
2020-05-08,Thurgau,5.43
2020-05-08,Aargau,12.11
2020-05-08,Zürich,11.83
2020-05-08,Graubünden/Grison,10.08
2020-05-08,Valais/Wallis,21.81
2020-05-08,Schwyz,13.19
2020-05-08,Ticino,38.49
2020-05-08,Appenzell Ausserrhoden,16.29
2020-05-08,Uri,38.43
2020-05-08,Schaffhausen,7.32
2020-05-08,Vaud,21.65
2020-05-09,Genève,28.23
2020-05-09,Aargau,11.23
2020-05-09,Appenzell Innerrhoden,0.00
2020-05-09,Jura,8.17
2020-05-09,Ticino,33.40
2020-05-09,Fribourg/Freiburg,28.87
2020-05-09,Valais/Wallis,20.64
2020-05-09,Schaffhausen,6.10
2020-05-09,Appenzell Ausserrhoden,16.29
2020-05-09,St. Gallen,5.12
2020-05-09,Solothurn,10.25
2020-05-09,Thurgau,5.43
2020-05-09,Obwalden,21.14
2020-05-09,Vaud,20.90
2020-05-09,Bern,11.30
2020-05-09,Graubünden/Grison,10.08
2020-05-09,Schwyz,11.94
2020-05-09,Uri,38.43
2020-05-09,Glarus,14.85
2020-05-09,Nidwalden,16.20
2020-05-09,Zug,9.46
2020-05-09,Luzern,10.01
2020-05-09,Liechtenstein,0.00
2020-05-09,Zürich,10.13
2020-05-09,Basel Land,6.59
2020-05-09,Basel Stadt,14.89
2020-05-09,Neuchâtel,24.88
2020-05-10,Luzern,9.77
2020-05-10,Nidwalden,11.57
2020-05-10,Genève,27.43
2020-05-10,Glarus,14.85
2020-05-10,Schaffhausen,7.32
2020-05-10,Aargau,10.80
2020-05-10,Thurgau,5.43
2020-05-10,St. Gallen,5.12
2020-05-10,Vaud,20.02
2020-05-10,Appenzell Innerrhoden,0.00
2020-05-10,Graubünden/Grison,9.07
2020-05-10,Solothurn,9.88
2020-05-10,Neuchâtel,25.45
2020-05-10,Basel Land,6.94
2020-05-10,Ticino,29.43
2020-05-10,Appenzell Ausserrhoden,16.29
2020-05-10,Bern,11.40
2020-05-10,Jura,8.17
2020-05-10,Basel Stadt,14.38
2020-05-10,Obwalden,21.14
2020-05-10,Uri,32.94
2020-05-10,Schwyz,8.17
2020-05-10,Zürich,10.13
2020-05-10,Liechtenstein,0.00
2020-05-10,Zug,9.46
2020-05-10,Valais/Wallis,20.35
2020-05-10,Fribourg/Freiburg,29.18
2020-05-11,Uri,24.70
2020-05-11,Schwyz,8.17
2020-05-11,Thurgau,5.06
2020-05-11,Appenzell Ausserrhoden,7.24
2020-05-11,Ticino,28.02
2020-05-11,Schaffhausen,6.10
2020-05-11,Zürich,9.27
2020-05-11,Liechtenstein,0.00
2020-05-11,Bern,10.92
2020-05-11,Zug,6.31
2020-05-11,Neuchâtel,23.75
2020-05-11,Vaud,18.64
2020-05-11,St. Gallen,4.33
2020-05-11,Luzern,8.79
2020-05-11,Basel Land,6.94
2020-05-11,Obwalden,10.57
2020-05-11,Jura,8.17
2020-05-11,Fribourg/Freiburg,27.92
2020-05-11,Valais/Wallis,16.28
2020-05-11,Solothurn,13.91
2020-05-11,Appenzell Innerrhoden,0.00
2020-05-11,Genève,25.03
2020-05-11,Nidwalden,16.20
2020-05-11,Aargau,10.65
2020-05-11,Glarus,14.85
2020-05-11,Graubünden/Grison,6.55
2020-05-11,Basel Stadt,14.89
2020-05-12,Solothurn,13.91
2020-05-12,Appenzell Ausserrhoden,7.24
2020-05-12,Schaffhausen,4.88
2020-05-12,Appenzell Innerrhoden,0.00
2020-05-12,Graubünden/Grison,6.05
2020-05-12,Zürich,8.42
2020-05-12,Basel Stadt,13.86
2020-05-12,Thurgau,4.34
2020-05-12,Basel Land,6.59
2020-05-12,Jura,6.81
2020-05-12,Liechtenstein,0.00
2020-05-12,Fribourg/Freiburg,29.49
2020-05-12,Neuchâtel,22.62
2020-05-12,Glarus,14.85
2020-05-12,Schwyz,6.91
2020-05-12,St. Gallen,3.55
2020-05-12,Valais/Wallis,13.37
2020-05-12,Aargau,10.07
2020-05-12,Genève,23.02
2020-05-12,Zug,7.10
2020-05-12,Luzern,7.81
2020-05-12,Uri,19.21
2020-05-12,Bern,10.34
2020-05-12,Nidwalden,16.20
2020-05-12,Vaud,17.14
2020-05-12,Obwalden,2.64
2020-05-12,Ticino,26.04
2020-05-13,Zug,7.88
2020-05-13,Solothurn,14.28
2020-05-13,St. Gallen,2.56
2020-05-13,Glarus,12.38
2020-05-13,Genève,20.42
2020-05-13,Nidwalden,20.82
2020-05-13,Basel Land,5.21
2020-05-13,Graubünden/Grison,5.54
2020-05-13,Schwyz,6.91
2020-05-13,Ticino,22.92
2020-05-13,Vaud,16.52
2020-05-13,Appenzell Innerrhoden,0.00
2020-05-13,Luzern,5.86
2020-05-13,Uri,19.21
2020-05-13,Obwalden,2.64
2020-05-13,Valais/Wallis,11.63
2020-05-13,Fribourg/Freiburg,26.36
2020-05-13,Jura,6.81
2020-05-13,Bern,9.86
2020-05-13,Aargau,9.77
2020-05-13,Zürich,6.90
2020-05-13,Schaffhausen,4.88
2020-05-13,Basel Stadt,12.32
2020-05-13,Liechtenstein,0.00
2020-05-13,Appenzell Ausserrhoden,7.24
2020-05-13,Neuchâtel,20.36
2020-05-13,Thurgau,4.70
2020-05-14,Zug,6.31
2020-05-14,Vaud,15.52
2020-05-14,Obwalden,2.64
2020-05-14,Schwyz,3.14
2020-05-14,St. Gallen,2.17
2020-05-14,Glarus,14.85
2020-05-14,Zürich,6.51
2020-05-14,Ticino,17.55
2020-05-14,Genève,20.02
2020-05-14,Uri,16.47
2020-05-14,Appenzell Ausserrhoden,5.43
2020-05-14,Solothurn,13.54
2020-05-14,Valais/Wallis,10.47
2020-05-14,Jura,5.45
2020-05-14,Basel Land,4.51
2020-05-14,Graubünden/Grison,5.04
2020-05-14,Basel Stadt,10.27
2020-05-14,Appenzell Innerrhoden,0.00
2020-05-14,Neuchâtel,17.53
2020-05-14,Bern,8.70
2020-05-14,Liechtenstein,0.00
2020-05-14,Luzern,3.66
2020-05-14,Aargau,9.48
2020-05-14,Thurgau,4.34
2020-05-14,Schaffhausen,3.66
2020-05-14,Nidwalden,20.82
2020-05-14,Fribourg/Freiburg,22.90
2020-05-15,Neuchâtel,15.83
2020-05-15,Thurgau,2.53
2020-05-15,Nidwalden,20.82
2020-05-15,Aargau,8.32
2020-05-15,Luzern,3.66
2020-05-15,Schaffhausen,3.66
2020-05-15,Bern,8.21
2020-05-15,Zug,7.10
2020-05-15,Graubünden/Grison,4.54
2020-05-15,Liechtenstein,0.00
2020-05-15,St. Gallen,1.97
2020-05-15,Obwalden,2.64
2020-05-15,Appenzell Ausserrhoden,5.43
2020-05-15,Solothurn,13.54
2020-05-15,Valais/Wallis,11.92
2020-05-15,Glarus,14.85
2020-05-15,Ticino,17.26
2020-05-15,Uri,13.72
2020-05-15,Appenzell Innerrhoden,0.00
2020-05-15,Zürich,5.79
2020-05-15,Fribourg/Freiburg,21.02
2020-05-15,Basel Land,4.16
2020-05-15,Schwyz,2.51
2020-05-15,Basel Stadt,10.27
2020-05-15,Jura,5.45
2020-05-15,Vaud,13.89
2020-05-15,Genève,17.42
2020-05-16,Glarus,14.85
2020-05-16,Neuchâtel,15.83
2020-05-16,Aargau,7.88
2020-05-16,Schaffhausen,3.66
2020-05-16,Liechtenstein,0.00
2020-05-16,Basel Land,3.47
2020-05-16,Ticino,15.57
2020-05-16,Vaud,12.76
2020-05-16,Luzern,4.15
2020-05-16,Schwyz,1.88
2020-05-16,St. Gallen,2.17
2020-05-16,Basel Stadt,9.76
2020-05-16,Appenzell Innerrhoden,0.00
2020-05-16,Zürich,5.92
2020-05-16,Fribourg/Freiburg,16.94
2020-05-16,Nidwalden,23.14
2020-05-16,Zug,7.88
2020-05-16,Genève,16.82
2020-05-16,Graubünden/Grison,3.53
2020-05-16,Obwalden,2.64
2020-05-16,Valais/Wallis,12.21
2020-05-16,Thurgau,2.53
2020-05-16,Jura,5.45
2020-05-16,Uri,10.98
2020-05-16,Appenzell Ausserrhoden,5.43
2020-05-16,Solothurn,12.81
2020-05-16,Bern,7.83
2020-05-17,Thurgau,2.17
2020-05-17,Nidwalden,23.14
2020-05-17,Basel Stadt,9.24
2020-05-17,Zug,7.88
2020-05-17,Bern,6.67
2020-05-17,Aargau,7.73
2020-05-17,Uri,8.23
2020-05-17,Fribourg/Freiburg,15.69
2020-05-17,St. Gallen,2.17
2020-05-17,Schwyz,1.88
2020-05-17,Vaud,12.39
2020-05-17,Appenzell Innerrhoden,0.00
2020-05-17,Valais/Wallis,11.63
2020-05-17,Zürich,5.79
2020-05-17,Neuchâtel,16.40
2020-05-17,Schaffhausen,3.66
2020-05-17,Appenzell Ausserrhoden,3.62
2020-05-17,Obwalden,2.64
2020-05-17,Basel Land,3.47
2020-05-17,Glarus,14.85
2020-05-17,Luzern,4.39
2020-05-17,Solothurn,10.62
2020-05-17,Ticino,13.87
2020-05-17,Graubünden/Grison,3.53
2020-05-17,Jura,5.45
2020-05-17,Liechtenstein,0.00
2020-05-17,Genève,15.82
2020-05-18,Glarus,14.85
2020-05-18,Appenzell Ausserrhoden,3.62
2020-05-18,Liechtenstein,0.00
2020-05-18,Zug,7.10
2020-05-18,Valais/Wallis,9.89
2020-05-18,Uri,5.49
2020-05-18,Neuchâtel,15.83
2020-05-18,Genève,14.82
2020-05-18,Nidwalden,23.14
2020-05-18,Obwalden,0.00
2020-05-18,St. Gallen,1.97
2020-05-18,Aargau,7.73
2020-05-18,Bern,6.47
2020-05-18,Jura,5.45
2020-05-18,Ticino,13.30
2020-05-18,Schwyz,1.26
2020-05-18,Basel Stadt,8.21
2020-05-18,Solothurn,11.71
2020-05-18,Vaud,11.89
2020-05-18,Thurgau,2.17
2020-05-18,Graubünden/Grison,4.03
2020-05-18,Basel Land,3.47
2020-05-18,Appenzell Innerrhoden,0.00
2020-05-18,Fribourg/Freiburg,14.12
2020-05-18,Luzern,4.39
2020-05-18,Schaffhausen,3.66
2020-05-18,Zürich,5.92
2020-05-19,Fribourg/Freiburg,13.49
2020-05-19,Zug,6.31
2020-05-19,Solothurn,11.71
2020-05-19,Valais/Wallis,9.59
2020-05-19,Nidwalden,23.14
2020-05-19,Thurgau,1.81
2020-05-19,Zürich,5.13
2020-05-19,Neuchâtel,14.70
2020-05-19,Schaffhausen,3.66
2020-05-19,Graubünden/Grison,4.03
2020-05-19,Liechtenstein,0.00
2020-05-19,Obwalden,2.64
2020-05-19,Bern,6.47
2020-05-19,Genève,13.41
2020-05-19,Glarus,14.85
2020-05-19,Aargau,7.88
2020-05-19,St. Gallen,1.77
2020-05-19,Basel Land,3.12
2020-05-19,Ticino,13.02
2020-05-19,Uri,5.49
2020-05-19,Appenzell Innerrhoden,0.00
2020-05-19,Schwyz,1.26
2020-05-19,Appenzell Ausserrhoden,3.62
2020-05-19,Basel Stadt,8.21
2020-05-19,Jura,2.72
2020-05-19,Luzern,5.37
2020-05-19,Vaud,11.01
2020-05-20,Valais/Wallis,8.43
2020-05-20,Appenzell Innerrhoden,0.00
2020-05-20,Aargau,7.44
2020-05-20,Uri,5.49
2020-05-20,Glarus,7.43
2020-05-20,Appenzell Ausserrhoden,3.62
2020-05-20,St. Gallen,1.18
2020-05-20,Zürich,4.34
2020-05-20,Schwyz,1.26
2020-05-20,Vaud,9.13
2020-05-20,Graubünden/Grison,3.53
2020-05-20,Zug,6.31
2020-05-20,Basel Stadt,7.19
2020-05-20,Luzern,6.10
2020-05-20,Bern,6.09
2020-05-20,Nidwalden,23.14
2020-05-20,Fribourg/Freiburg,14.12
2020-05-20,Solothurn,12.08
2020-05-20,Schaffhausen,3.66
2020-05-20,Genève,13.41
2020-05-20,Liechtenstein,0.00
2020-05-20,Neuchâtel,13.01
2020-05-20,Jura,2.72
2020-05-20,Obwalden,7.93
2020-05-20,Ticino,11.89
2020-05-20,Basel Land,2.78
2020-05-20,Thurgau,1.45
2020-05-21,Basel Land,1.74
2020-05-21,Schaffhausen,2.44
2020-05-21,Appenzell Ausserrhoden,3.62
2020-05-21,Ticino,13.58
2020-05-21,Luzern,5.37
2020-05-21,Vaud,8.51
2020-05-21,Aargau,6.86
2020-05-21,St. Gallen,1.18
2020-05-21,Uri,2.74
2020-05-21,Obwalden,7.93
2020-05-21,Valais/Wallis,8.43
2020-05-21,Zürich,3.75
2020-05-21,Appenzell Innerrhoden,0.00
2020-05-21,Schwyz,1.26
2020-05-21,Neuchâtel,10.74
2020-05-21,Zug,5.52
2020-05-21,Basel Stadt,5.65
2020-05-21,Genève,13.21
2020-05-21,Glarus,7.43
2020-05-21,Solothurn,12.08
2020-05-21,Jura,4.09
2020-05-21,Nidwalden,18.51
2020-05-21,Liechtenstein,0.00
2020-05-21,Thurgau,1.45
2020-05-21,Bern,5.80
2020-05-21,Graubünden/Grison,3.53
2020-05-21,Fribourg/Freiburg,11.61
2020-05-22,Valais/Wallis,7.27
2020-05-22,Zug,5.52
2020-05-22,Obwalden,7.93
2020-05-22,Graubünden/Grison,3.53
2020-05-22,Nidwalden,18.51
2020-05-22,Bern,5.41
2020-05-22,Fribourg/Freiburg,10.98
2020-05-22,Zürich,3.22
2020-05-22,Schwyz,1.26
2020-05-22,Vaud,7.76
2020-05-22,Neuchâtel,7.35
2020-05-22,St. Gallen,0.79
2020-05-22,Luzern,5.13
2020-05-22,Uri,2.74
2020-05-22,Basel Stadt,5.13
2020-05-22,Aargau,6.57
2020-05-22,Genève,12.41
2020-05-22,Ticino,13.30
2020-05-22,Jura,2.72
2020-05-22,Basel Land,1.39
2020-05-22,Liechtenstein,0.00
2020-05-22,Appenzell Innerrhoden,0.00
2020-05-22,Thurgau,1.81
2020-05-22,Solothurn,11.71
2020-05-22,Glarus,7.43
2020-05-22,Appenzell Ausserrhoden,3.62
2020-05-22,Schaffhausen,2.44
2020-05-23,Solothurn,11.71
2020-05-23,Obwalden,7.93
2020-05-23,Liechtenstein,0.00
2020-05-23,Bern,5.12
2020-05-23,Nidwalden,18.51
2020-05-23,Graubünden/Grison,3.02
2020-05-23,Fribourg/Freiburg,10.35
2020-05-23,Zug,6.31
2020-05-23,Neuchâtel,7.92
2020-05-23,Glarus,4.95
2020-05-23,Luzern,5.13
2020-05-23,Zürich,3.02
2020-05-23,Valais/Wallis,6.98
2020-05-23,Ticino,12.45
2020-05-23,Vaud,7.63
2020-05-23,Aargau,6.42
2020-05-23,Uri,2.74
2020-05-23,Jura,2.72
2020-05-23,Genève,11.01
2020-05-23,Thurgau,1.45
2020-05-23,St. Gallen,0.79
2020-05-23,Basel Stadt,4.62
2020-05-23,Basel Land,1.04
2020-05-23,Schaffhausen,2.44
2020-05-23,Appenzell Innerrhoden,0.00
2020-05-23,Schwyz,0.63
2020-05-23,Appenzell Ausserrhoden,3.62
2020-05-24,Solothurn,11.71
2020-05-24,Luzern,5.13
2020-05-24,Nidwalden,18.51
2020-05-24,Aargau,5.40
2020-05-24,Graubünden/Grison,3.02
2020-05-24,Bern,4.73
2020-05-24,St. Gallen,0.79
2020-05-24,Fribourg/Freiburg,9.10
2020-05-24,Jura,2.72
2020-05-24,Thurgau,1.45
2020-05-24,Neuchâtel,6.79
2020-05-24,Vaud,7.76
2020-05-24,Schaffhausen,0.00
2020-05-24,Appenzell Ausserrhoden,3.62
2020-05-24,Uri,2.74
2020-05-24,Obwalden,7.93
2020-05-24,Zürich,2.89
2020-05-24,Schwyz,0.63
2020-05-24,Ticino,11.32
2020-05-24,Basel Land,0.69
2020-05-24,Genève,10.81
2020-05-24,Appenzell Innerrhoden,0.00
2020-05-24,Glarus,4.95
2020-05-24,Basel Stadt,4.11
2020-05-24,Zug,7.10
2020-05-24,Valais/Wallis,6.98
2020-05-24,Liechtenstein,0.00
2020-05-25,Graubünden/Grison,3.02
2020-05-25,Obwalden,7.93
2020-05-25,Jura,2.72
2020-05-25,Ticino,10.75
2020-05-25,Vaud,6.88
2020-05-25,Zürich,2.70
2020-05-25,Basel Stadt,3.08
2020-05-25,Appenzell Innerrhoden,0.00
2020-05-25,Fribourg/Freiburg,8.47
2020-05-25,Solothurn,6.95
2020-05-25,Liechtenstein,0.00
2020-05-25,Luzern,5.13
2020-05-25,St. Gallen,0.59
2020-05-25,Schwyz,0.63
2020-05-25,Bern,4.44
2020-05-25,Aargau,4.81
2020-05-25,Valais/Wallis,6.40
2020-05-25,Neuchâtel,5.65
2020-05-25,Schaffhausen,0.00
2020-05-25,Nidwalden,13.88
2020-05-25,Uri,2.74
2020-05-25,Genève,9.81
2020-05-25,Glarus,2.48
2020-05-25,Thurgau,1.45
2020-05-25,Zug,7.10
2020-05-25,Appenzell Ausserrhoden,1.81
2020-05-25,Basel Land,0.69
2020-05-26,St. Gallen,0.59
2020-05-26,Luzern,4.88
2020-05-26,Schwyz,0.63
2020-05-26,Basel Stadt,3.08
2020-05-26,Zug,6.31
2020-05-26,Jura,2.72
2020-05-26,Uri,2.74
2020-05-26,Appenzell Ausserrhoden,1.81
2020-05-26,Schaffhausen,0.00
2020-05-26,Ticino,11.32
2020-05-26,Zürich,2.96
2020-05-26,Valais/Wallis,7.27
2020-05-26,Appenzell Innerrhoden,0.00
2020-05-26,Genève,8.41
2020-05-26,Graubünden/Grison,3.02
2020-05-26,Nidwalden,11.57
2020-05-26,Liechtenstein,0.00
2020-05-26,Bern,3.96
2020-05-26,Basel Land,0.35
2020-05-26,Thurgau,1.45
2020-05-26,Solothurn,6.59
2020-05-26,Aargau,4.81
2020-05-26,Glarus,2.48
2020-05-26,Neuchâtel,5.09
2020-05-26,Fribourg/Freiburg,5.65
2020-05-26,Vaud,6.01
2020-05-26,Obwalden,7.93
2020-05-27,Basel Stadt,3.08
2020-05-27,Bern,3.67
2020-05-27,Appenzell Innerrhoden,0.00
2020-05-27,Schwyz,0.63
2020-05-27,Thurgau,0.72
2020-05-27,Liechtenstein,0.00
2020-05-27,Jura,4.09
2020-05-27,Obwalden,7.93
2020-05-27,Genève,8.21
2020-05-27,Valais/Wallis,7.56
2020-05-27,Solothurn,5.86
2020-05-27,Basel Land,0.35
2020-05-27,Zürich,2.76
2020-05-27,Ticino,10.19
2020-05-27,Luzern,4.88
2020-05-27,Uri,2.74
2020-05-27,Appenzell Ausserrhoden,1.81
2020-05-27,Glarus,2.48
2020-05-27,Aargau,4.23
2020-05-27,Zug,5.52
2020-05-27,St. Gallen,0.39
2020-05-27,Schaffhausen,0.00
2020-05-27,Graubünden/Grison,2.52
2020-05-27,Fribourg/Freiburg,5.02
2020-05-27,Neuchâtel,5.09
2020-05-27,Vaud,5.13
2020-05-27,Nidwalden,6.94
2020-05-28,Genève,7.21
2020-05-28,Liechtenstein,0.00
2020-05-28,Basel Stadt,2.57
2020-05-28,Zug,3.94
2020-05-28,Bern,3.48
2020-05-28,Nidwalden,2.31
2020-05-28,Schwyz,0.00
2020-05-28,Aargau,3.79
2020-05-28,Zürich,2.76
2020-05-28,Schaffhausen,0.00
2020-05-28,Obwalden,7.93
2020-05-28,Solothurn,5.49
2020-05-28,Uri,2.74
2020-05-28,St. Gallen,0.59
2020-05-28,Appenzell Innerrhoden,0.00
2020-05-28,Valais/Wallis,6.98
2020-05-28,Glarus,0.00
2020-05-28,Thurgau,0.72
2020-05-28,Vaud,4.76
2020-05-28,Neuchâtel,5.09
2020-05-28,Jura,4.09
2020-05-28,Fribourg/Freiburg,4.71
2020-05-28,Graubünden/Grison,2.02
2020-05-28,Basel Land,1.04
2020-05-28,Ticino,10.75
2020-05-28,Appenzell Ausserrhoden,1.81
2020-05-28,Luzern,4.64
2020-05-29,Schaffhausen,0.00
2020-05-29,Thurgau,0.72
2020-05-29,Basel Stadt,3.08
2020-05-29,Vaud,4.63
2020-05-29,Schwyz,0.00
2020-05-29,Zürich,3.02
2020-05-29,Aargau,4.23
2020-05-29,Ticino,9.62
2020-05-29,Nidwalden,2.31
2020-05-29,Valais/Wallis,4.36
2020-05-29,Genève,7.01
2020-05-29,Solothurn,4.76
2020-05-29,Zug,3.15
2020-05-29,Obwalden,7.93
2020-05-29,Uri,2.74
2020-05-29,Glarus,0.00
2020-05-29,Fribourg/Freiburg,4.39
2020-05-29,Appenzell Ausserrhoden,1.81
2020-05-29,Jura,4.09
2020-05-29,Bern,3.09
2020-05-29,Neuchâtel,5.65
2020-05-29,Appenzell Innerrhoden,0.00
2020-05-29,Graubünden/Grison,2.02
2020-05-29,St. Gallen,0.59
2020-05-29,Basel Land,1.04
2020-05-29,Liechtenstein,0.00
2020-05-29,Luzern,3.66
